


🇨🇳•🌏央视频道,#genre#
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV1,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1
CCTV1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV1,http://175.10.37.200:9901/tsfile/live/0001_1.m3u8
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV2,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2
CCTV2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV2,http://175.10.37.200:9901/tsfile/live/0002_1.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV3,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3
CCTV3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV3,http://175.10.37.200:9901/tsfile/live/0003_1.m3u8
CCTV3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV4,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4
CCTV4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV4,http://175.10.37.200:9901/tsfile/live/0004_1.m3u8
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5
CCTV5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV5,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV5,http://175.10.37.200:9901/tsfile/live/0005_1.m3u8
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV5+,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV5+,http://xuehanwei.my03.com:8888/udp/239.253.92.82:8013
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
